OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,SiteEnergyUse(kBtu)_log
23115,NonResidential,Distribution Center,98108.0,1,DELRIDGE,Warehouse,Missing,Missing,53.0,1,37,1.0,0.0,1.0034965034965035,0.0,0.0,42900.0,42900.0,Low_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,8.301711302781031,12.985978775389226
23117,Campus,Other,98108.0,1,DELRIDGE,Education,Missing,Missing,,1,11,1.0,0.0,1.0,0.0,0.0,11590.4,57952.0,Medium_elec,Zero_Steam,Medium_gas,High_elec,Zero_steam,High_gas,High_elec,Zero_steam,High_gas,9.714167047923631,14.944130900696024
23120,NonResidential,Other,98108.0,1,DELRIDGE,Other,Commercial,Missing,,2,45,1.0,0.0,0.6961726136017078,0.30382738639829215,0.0,26232.0,26232.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,8.526796941995565,14.945004721447336
23158,NonResidential,Warehouse,98144.0,3,DOWNTOWN,Warehouse,Missing,Missing,92.0,1,60,1.0,0.0,1.0,0.0,0.0,25840.0,12920.0,Low_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,1.5517045618199055,12.655647437938955
23161,NonResidential,Small- and Mid-Sized Office,98144.0,2,DOWNTOWN,Commercial,Missing,Missing,,1,28,1.0,0.0,0.9704950714364824,0.0,0.0,45145.0,45145.0,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,1.4343863432149486,14.053314124217232
23164,NonResidential,Small- and Mid-Sized Office,98144.0,3,DOWNTOWN,Commercial,Parking,Missing,89.0,2,15,0.6858471250639823,0.31415287493601773,0.6315332992094637,0.36846670079053634,0.0,70332.0,14066.4,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,1.5698896005038798,14.499171006442532
23228,NonResidential,Supermarket / Grocery Store,98117.0,6,BALLARD,Retail,Parking,Missing,22.0,2,22,1.0,0.0,1.0,0.0,0.0,45522.0,45522.0,High_elec,Zero_Steam,High_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,9.87567353511209,16.321071024971086
23231,NonResidential,Retail Store,98133.0,5,NORTHWEST,Retail,Commercial,Parking,,3,37,1.0,0.0,0.8004778972520908,0.17423337315810433,0.025288729589804857,20088.0,10044.0,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,13.01441868061236,12.697041484283481
23265,Campus,Other,98134.0,1,GREATER DUWAMISH,Other,Missing,Missing,,1,27,1.0,0.0,1.004679389807569,0.0,0.0,27781.4,69453.5,Medium_elec,Zero_Steam,Medium_gas,High_elec,Zero_steam,High_gas,High_elec,Zero_steam,High_gas,4.158447860629172,15.874455152613761
23268,NonResidential,Small- and Mid-Sized Office,98134.0,1,GREATER DUWAMISH,Commercial,Parking,Missing,57.0,2,19,1.0,0.0,1.0,0.0,0.0,40657.0,20328.5,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,4.179156603494278,14.854666146696264
23277,NonResidential,Warehouse,98134.0,1,GREATER DUWAMISH,Warehouse,Commercial,Missing,,2,116,1.0,0.0,0.9257425742574258,0.07425742574257425,0.0,20200.0,20200.0,Low_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Low_gas,3.967209208981505,12.50253240921046
23299,NonResidential,Small- and Mid-Sized Office,98104.0,3,EAST,Commercial,Parking,Missing,94.0,2,46,0.6170087545059957,0.38299124549400426,1.0,0.27587728978150516,0.0,54372.0,7767.429,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,0.5150178042029129,14.154708362562493
23310,NonResidential,Other,98104.0,3,EAST,Other,Parking,Missing,,2,65,1.0,0.0,0.9853456047296589,0.0,0.0,47699.0,47699.0,Medium_elec,Medium_steam,Medium_gas,Medium_elec,Medium_steam,Low_gas,Low_elec,Medium_steam,Medium_gas,0.6034281018568629,16.491339656713567
23311,NonResidential,Medical Office,98104.0,3,EAST,Commercial,Parking,Missing,52.0,2,71,1.0,0.0,0.8308797820576324,0.4951560269222925,0.0,274568.0,0.0,High_elec,Medium_steam,Zero_gas,Medium_elec,Medium_steam,Zero_gas,Medium_elec,High_steam,Zero_gas,0.6834395704419147,17.046770462586043
23313,NonResidential,Small- and Mid-Sized Office,98122.0,3,EAST,Commercial,Missing,Missing,69.0,1,60,1.0,0.0,0.9236913823888733,0.0,0.0,21282.0,7094.0,Medium_elec,Low_steam,Zero_gas,Medium_elec,Medium_steam,Zero_gas,Medium_elec,Medium_steam,Zero_gas,0.7300517599084446,14.035388583247363
23320,NonResidential,Other,98118.0,2,SOUTHEAST,Other,Missing,Missing,,1,95,1.0,0.0,1.0,0.0,0.0,41022.0,20511.0,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Low_elec,Zero_steam,Zero_gas,7.935352202370205,15.147256133963962
23397,NonResidential,Other,98106.0,1,DELRIDGE,Other,Missing,Missing,,1,50,1.0,0.0,1.0,0.0,0.0,28109.0,14054.5,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,4.355526112535599,15.09991829303422
23331,NonResidential,Small- and Mid-Sized Office,98125.0,5,NORTH,Commercial,Parking,Missing,100.0,2,31,0.6131625967837999,0.38683740321620014,0.6131625967837999,0.38683740321620014,0.0,33580.0,11193.333,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,14.062063962636218,12.922886073855585
