OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,LargestPropertyUseTypeGFA_log,PropertyGFABuilding(s)_log,PropertyGFATotal_log,ThirdLargestPropertyUseTypeGFA_log,SecondLargestPropertyUseTypeGFA_log,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,TotalGHGEmissions_log
629,NonResidential,Distribution Center,98134.0,2,GREATER DUWAMISH,Warehouse,Warehouse,Commercial,,4,109,10.59375559234523,10.93793458372845,10.93793458372845,8.322880021769905,9.134646527606982,1.0,0.0,0.7087968722232095,0.16474142527101476,0.07314732539541496,56270.0,14067.5,Low_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Low_elec,Zero_steam,Zero_gas,1.40292347721142,2.124653884501384
630,NonResidential,Small- and Mid-Sized Office,98104.0,2,DOWNTOWN,Commercial,Retail,Missing,31.0,2,112,10.67181177644663,11.110101865005516,11.110101865005516,0.0,9.2605580881368,1.0,0.0,0.6451332994225187,0.1572963107028515,0.0,66842.0,16710.5,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Low_gas,1.0296153093514504,4.936988753927957
632,NonResidential,Small- and Mid-Sized Office,98104.0,2,DOWNTOWN,Commercial,Parking,Missing,81.0,2,107,11.089942816764351,11.074249945604157,11.229089320779604,0.0,9.298259670014065,0.8565508447561364,0.14344915524386356,0.870098820529168,0.14501647008819465,0.0,75288.0,12548.0,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Low_gas,1.0972359967245326,3.0530573401732606
633,NonResidential,Large Office,98104.0,2,DOWNTOWN,Commercial,Commercial,Missing,81.0,2,112,12.122239847864273,12.124444932398877,12.124444932398877,0.0,6.008813185442595,1.0,0.0,0.9977973329282451,0.002202667071754864,0.0,184322.0,26331.714,High_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,0.9266771729474628,4.23091300500412
634,NonResidential,Large Office,98104.0,2,DOWNTOWN,Commercial,Retail,Missing,43.0,2,7,12.520200670621694,12.57020868613386,12.57020868613386,0.0,9.401208634738603,1.0,0.0,0.9512216304850045,0.042042292420089424,0.0,287853.0,41121.857,High_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,0.9678674834428578,5.210250887679586
635,NonResidential,Small- and Mid-Sized Office,98134.0,2,GREATER DUWAMISH,Commercial,Missing,Missing,53.0,1,102,11.050905878263567,11.07462203286291,11.07462203286291,0.0,0.0,1.0,0.0,0.9765625,0.0,0.0,64512.0,32256.0,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Low_gas,1.5902667384036568,5.202687135532787
638,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,Warehouse,Missing,Missing,26.0,1,90,11.877922682522595,11.877922682522595,11.877922682522595,0.0,0.0,1.0,0.0,1.0,0.0,0.0,144050.0,20578.571,Low_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,2.5148404287612833,4.599453878991982
639,NonResidential,Small- and Mid-Sized Office,98104.0,2,GREATER DUWAMISH,Commercial,Missing,Missing,16.0,1,86,11.008496008709475,11.011934653834277,11.011934653834277,0.0,0.0,1.0,0.0,0.9965672035912332,0.0,0.0,60592.0,20197.333,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,2.640029884234487,3.876395827784995
640,NonResidential,Large Office,98134.0,2,GREATER DUWAMISH,Commercial,Retail,Warehouse,79.0,3,104,13.816241290913908,14.138289467453484,14.138289467453484,12.302763689684154,12.547166329650372,1.0,0.0,0.7246630783390383,0.2036961271116666,0.1595289939817185,0.0,230159.833,High_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Low_gas,2.7229053487307073,6.69913081376713
641,NonResidential,Retail Store,98134.0,2,GREATER DUWAMISH,Retail,Missing,Missing,57.0,1,23,11.5871512873222,11.589247413040994,11.589247413040994,0.0,0.0,1.0,0.0,0.9979060502177337,0.0,0.0,107930.0,107930.0,Medium_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,3.099998930392517,4.619270310366873
642,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,Warehouse,Missing,Missing,83.0,1,90,11.503733346601313,11.503733346601313,11.503733346601313,0.0,0.0,1.0,0.0,1.0,0.0,0.0,99084.0,99084.0,Low_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,3.926796586159263,3.917010546939185
647,NonResidential,Distribution Center,98106.0,1,Delridge,Warehouse,Missing,Missing,28.0,1,63,11.19437172885136,11.19437172885136,11.19437172885136,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72719.0,72719.0,Low_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Medium_gas,4.644004061068672,3.778263015248622
649,NonResidential,Small- and Mid-Sized Office,98134.0,3,EAST,Commercial,Missing,Missing,91.0,1,86,11.246678673238513,11.246678673238513,11.246678673238513,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19156.0,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,1.259827323533295,3.538347219809389
